,0
367,17401.198039707175
368,18731.361583161164
369,19826.277561557523
370,19102.389540216565
371,18932.862599659373
372,24658.051435811285
373,17853.930986056865
374,18097.999215305026
375,21786.298458894817
376,14808.228103273663
377,18532.463799806243
378,17214.83302703272
379,17055.42484464604
380,20555.692138089504
381,20287.615785726055
382,17525.911849773856
383,18246.87701389969
384,17569.089871598193
385,22311.681267682972
386,17383.21852900428
387,23487.136055721527
388,21917.65498627119
389,17702.145777454247
390,19245.315965005917
391,18571.26762008842
392,18020.842363555388
393,14379.146158574255
394,21533.460913851257
395,16741.99860645451
396,17788.531199613357
397,16227.69090983341
398,18881.367215640435
399,24128.25845382524
400,14336.225188214145
401,22667.431641254432
402,19546.602921012207
403,20792.265216017036
404,23502.24493630301
405,22569.16143723853
406,18846.999419176747
407,19314.313699149505
408,22075.682464626607
409,25202.767236411717
410,17499.288868413587
411,23160.661369808848
412,22591.06583197501
413,19217.947272772213
414,24209.98421126652
415,20682.249080232938
416,18556.249688977812
417,18159.545448151668
418,22838.411084033603
419,18634.880855662323
420,22347.037752912052
421,20633.218254351887
422,21421.427883509365
423,21421.427883509365
424,19090.58143878246
425,18017.430236325123
426,16808.455922776542
427,20147.567716258938
428,14851.815314406622
429,21888.215608724484
430,19211.191572350242
431,17562.73693577436
432,18950.922820723266
433,22619.26446402842
434,22606.390772865223
435,19471.990204241338
436,24783.533255438833
437,19958.95745516591
438,20201.380044964917
439,22174.71647396027
440,20209.595307377527
441,21333.572820382426
442,19007.15323130524
443,19559.46299130133
444,22919.201865102652
445,20744.77710125622
446,21752.03420948291
447,14924.42875202088
448,18662.521060610517
449,20596.9667626883
450,17723.59753553471
451,21444.239925419275
452,23915.165163561735
