所在区域,平均价格(元/平方),房屋类型,所在楼层,建筑面积,建筑类型,房屋朝向,装修情况,梯户比例,配备电梯,挂牌时间,上次交易时间,产权所属,抵押信息
7,16637,3室2厅1厨2卫,中楼层 (共33层),111.2,2,南 北,0,两梯五户,1,2019/3/12,2015/4/6,0.5,0.5
1,19561,3室2厅1厨1卫,低楼层 (共34层),91,2,南,0,两梯四户,1,2018/11/9,2014/1/20,1,0.5
1,17093,3室2厅1厨1卫,中楼层 (共18层),128.71,2,东 南 北,0,两梯四户,1,2019/2/19,2011/11/7,1,1
4,27075,1室1厅1厨1卫,中楼层 (共27层),51.71,2,西,1,两梯五户,1,2018/12/16,2017/1/16,1,1
9,17663,3室1厅1厨1卫,低楼层 (共6层),91.72,2,南 北,0.5,一梯四户,0.5,2019/3/22,2008/6/4,0.5,1
14,16327,3室2厅1厨1卫,高楼层 (共51层),107.19,2,南,0,四梯六户,1,2019/2/19,2019/3/13,0.5,1
14,16941,3室2厅1厨2卫,低楼层 (共7层),133.41,3,南 北,1,一梯两户,0.5,2019/3/27,2011/9/2,1,1
7,16203,2室2厅1厨1卫,中楼层 (共45层),72.83,2,南,0,两梯六户,1,2019/4/11,2018/12/4,0.5,1
2,16667,3室2厅1厨1卫,低楼层 (共29层),96,2,南 北,0,两梯四户,1,2019/3/26,暂无数据,1,0.5
7,22575,2室1厅1厨1卫,低楼层 (共32层),77.52,2,南,0.5,两梯六户,1,2019/3/30,2016/9/2,0.5,1
1,19158,1室1厅1厨1卫,高楼层 (共27层),46.98,2,东,1,四梯十五户,1,2019/3/30,2015/9/7,1,0.5
1,14349,3室2厅1厨2卫,低楼层 (共12层),121.96,2,南 北,0.5,一梯三户,1,2018/9/3,2012/9/26,1,0.5
7,16055,3室2厅1厨2卫,高楼层 (共11层),140.15,3,南 北,1,一梯两户,1,2019/2/12,2018/4/27,0.5,0.5
1,23256,2室1厅1厨1卫,高楼层 (共34层),72.67,3,南,1,两梯六户,1,2019/4/11,2018/12/13,0.5,0.5
1,19070,4室2厅1厨2卫,高楼层 (共9层),146.83,3,南 北,1,一梯四户,1,2019/4/7,2010/6/22,1,0.5
7,14352,3室2厅1厨1卫,高楼层 (共28层),108,2,南 北,0,两梯四户,1,2018/9/30,暂无数据,0.5,1
7,12344,2室1厅1厨1卫,高楼层 (共7层),71.29,2,南,0.5,一梯三户,0.5,2019/3/24,2009/3/9,0.5,1
3,26731,3室2厅1厨2卫,低楼层 (共33层),108.49,2,南 北,0,两梯四户,1,2019/1/3,2016/8/10,0.5,0.5
4,26564,2室2厅1厨1卫,低楼层 (共32层),90.35,2,南,1,两梯五户,1,2019/3/21,2017/6/14,0.5,0.5
7,14306,2室1厅1厨1卫,中楼层 (共11层),78.99,2,南 北,0,两梯四户,1,2018/10/7,2010/2/8,1,1
3,22860,2室2厅1厨1卫,低楼层 (共18层),80.93,2,南,0.5,两梯四户,1,2018/7/19,2008/4/27,0.5,1
1,16947,3室2厅1厨2卫,高楼层 (共18层),131,3,南,0,两梯四户,1,2018/8/25,2010/4/8,0.5,1
8,15219,2室1厅1厨1卫,高楼层 (共9层),63.08,3,西北,0.5,一梯九户,0,2019/1/25,暂无数据,1,1
14,16779,2室2厅1厨1卫,中楼层 (共7层),62.58,2,南 北,1,一梯两户,0.5,2019/2/25,2005/11/18,0.5,1
9,16667,3室2厅1厨1卫,中楼层 (共7层),81,2,东南 西南,0.5,一梯四户,0.5,2019/1/14,暂无数据,1,1
5,11000,3室2厅1厨2卫,高楼层 (共7层),96.37,2,南 北,1,一梯三户,0.5,2019/1/20,2017/4/28,0.5,0.5
